year,r_ce_1.5,r_ce_2.0,r_ce_2.5,r_ce_3.0,r_ra_1.5,r_ra_2.0,r_ra_2.5,r_ra_3.0
2127,0.009571796956359265,0.012570162312369893,0.01584883666021213,0.019312884972873375,0.01762072738938805,0.02199140112280101,0.026284394512066114,0.030570367908115535
2128,0.009506547406499321,0.012482114524465616,0.01574051605840417,0.01918584857821523,0.01763398557038514,0.02199155927820222,0.026272393442610727,0.030546987309099594
2129,0.009448237294589004,0.012401532755245012,0.01563983057987897,0.019066449169962113,0.017659292236210135,0.02200640812174097,0.026277003922623905,0.030541712651289417
2130,0.009396427812003125,0.012327902862410436,0.015546217015024661,0.018954089842877664,0.017700114007347577,0.02203785964951118,0.0262984413344349,0.030553056756826923
2131,0.009310538288569098,0.012227572093506106,0.015436276327911279,0.018837157187326158,0.017640060942201847,0.021955441185027794,0.02619937448505679,0.030440973390009767
2132,0.009232449826255526,0.012135503689517687,0.015334581897215581,0.0187282017739069,0.017601588413262845,0.021896410971173532,0.026124420221914694,0.030353167350430497
2133,0.009161601900097991,0.01205107407194883,0.015240483045122977,0.018626565337535136,0.017577721696685297,0.021854797692430563,0.026068933312799053,0.030286397611270208
2134,0.009098014722929282,0.011974339488984947,0.01515407014303722,0.018532369860951865,0.017574177688289408,0.021835605767154903,0.026037216675633613,0.03024437926895841
2135,0.009041730921826975,0.011905380536877355,0.015075458781292673,0.018445763070874487,0.01758453085960645,0.021832129173496775,0.026022267733126637,0.030219765270721084
2136,0.008982700896985427,0.011832132552531809,0.01499004641669907,0.018349277759428777,0.017566503233107142,0.021801799118720402,0.025982472165796057,0.030172100519306647
2137,0.00893187614640218,0.011767808249368305,0.014913850648893388,0.018262096791257183,0.01755799889375052,0.021782658503729374,0.02595532861073487,0.030138534588519474
2138,0.008887513342138,0.011710264487253548,0.014844413231231219,0.01818149552124594,0.017565167711075646,0.021780927761432207,0.025946115988931723,0.030122676224287007
2139,0.008849440773243396,0.011659306346578958,0.014781526858488171,0.018107261655014327,0.017586159911007655,0.021794979255506663,0.02595427221740312,0.030125590744950106
2140,0.008817447466013926,0.011614689258702952,0.014724927431932013,0.018039121183060468,0.017626884920305116,0.02183159107138318,0.025986808424385624,0.03015420648800664
2141,0.008758563941155184,0.01154182450441611,0.014640479465630034,0.01794450198778567,0.01761194888603262,0.021803613107548803,0.025948697596946884,0.030107713311367024
2142,0.008707288263314468,0.011477274115863339,0.014564649566418543,0.017858605343818498,0.0176093180373036,0.02178920696516787,0.02592474425360667,0.030075558492704216
2143,0.00866269768150769,0.011419981814895248,0.014496307525275627,0.01778026163708951,0.017627430367646656,0.02179786727804838,0.025925389001056894,0.03006914103195781
2144,0.008624836846866076,0.011370032405664521,0.014435576613270886,0.01770963054905374,0.017653171871103844,0.021816373678267897,0.02593749679312223,0.030075436396593408
2145,0.008593647742228936,0.011327378743088912,0.014382423476453972,0.017646693133580388,0.017693302042777904,0.021851278022053573,0.025967297449201093,0.030100340828628634
2146,0.008541303778338234,0.011262998652093185,0.01430767197313025,0.017562397298549703,0.01769129612946094,0.021837702373739422,0.025944807136908287,0.030070490470481888
2147,0.008495472963385804,0.011205534985663984,0.014239933634206422,0.017485079283215448,0.01770341278936845,0.02183999025585276,0.025939301337336833,0.030058385490233094
2148,0.008455112778346784,0.011153740221777113,0.014177814837161427,0.017413234985731413,0.01772912824623265,0.021857256086262208,0.025949483141092595,0.0300623401890136
2149,0.008420079726588594,0.011107448708785508,0.014121135244634072,0.01734667413859174,0.01776626593784401,0.021887565441492216,0.025973707757764048,0.030080989689064423
2150,0.00839013695048131,0.01106637466430286,0.014069572033974326,0.01728504429201525,0.01781635399272769,0.021932044294906448,0.026012815059631447,0.03011500287130303
2151,0.00834409041078693,0.011013506988040416,0.014011401901645664,0.017222162428574148,0.017818482214051495,0.02192185372331899,0.025993937049835235,0.030089702323032777
2152,0.008304665510206246,0.010967615090836698,0.013960113742089424,0.017165821132697635,0.017828789609737057,0.021921521131419548,0.02598600953672218,0.03007610386004883
2153,0.008270941071466453,0.010927611199566223,0.013914508376692225,0.017114742454211553,0.017849263256495187,0.02193152452648491,0.02598787336397046,0.030071343649530746
2154,0.008242852438483874,0.010893431604899065,0.01387452554422364,0.017068871676111447,0.017881099758848207,0.021955949020736616,0.026006700736506558,0.030085784101149607
2155,0.008220667304154291,0.010865431912288153,0.013840595127948342,0.017028705558292653,0.017927769995622185,0.021996029924696424,0.026041116004168738,0.030115254872307397
2156,0.008154964367128523,0.010785936074972545,0.013749630257406071,0.016927417735441097,0.017919658399403068,0.021970952397939364,0.026003516723206117,0.030067747681912345
2157,0.008096936464443387,0.010714909265065891,0.013667489006713083,0.016835080429611998,0.017929390076272093,0.021966276616635274,0.025987953522778072,0.03004340754180877
2158,0.008045814677446429,0.010651456942387243,0.013593198491949777,0.016750669887793692,0.0179522218018154,0.021976165603554552,0.025987909021689397,0.030035327352201834
2159,0.008001366290446425,0.010595306287488147,0.013526461352244857,0.016673874016762617,0.017987685370989853,0.022001488816660916,0.026005275682565335,0.03004609546586766
2160,0.007963272892175839,0.01054607273950317,0.013466846307363816,0.01660422705437255,0.0180389675985954,0.022044285361460927,0.026041127775778914,0.030076031267980443
2161,0.00788160983915574,0.01044392012592412,0.013347679959171643,0.01646988817297913,0.018058951635420508,0.02204604539414141,0.026027846765655345,0.03004994126493898
2162,0.007805817154767652,0.01034813648450186,0.013235089140573416,0.01634219083308551,0.01808726213440175,0.02205701861356114,0.026024253984239184,0.030033801832935286
2163,0.007734942446878699,0.010257524392031942,0.013127671431995804,0.016219552252521845,0.018127044892195153,0.02208084270927828,0.02603415668878658,0.03003139463103774
2164,0.0076688826474239314,0.010171969519066045,0.013025305002421711,0.01610184599047803,0.01817876372424476,0.022118973917578482,0.02606024006122725,0.03004679509056496
2165,0.007608013758472897,0.010091966905910998,0.012928584596770855,0.01598975534064018,0.018240664358615214,0.022168928489061924,0.026099174393934617,0.030075709497412333
2166,0.007553653860605294,0.010026152976433219,0.012853021900081285,0.01590529542512326,0.018246039016898283,0.022161466490092017,0.02608271663254106,0.030052451511417208
2167,0.0075053005747269174,0.009966641263188978,0.012783768741295328,0.01582703566618202,0.018271809973353304,0.022175973159218675,0.026088840120566902,0.030051883420636805
2168,0.007462108495068445,0.00991247527329945,0.012719817850013998,0.01575395375616738,0.01830619018842837,0.022200025465491328,0.026105122966685282,0.030061911567349883
2169,0.0074237675856880705,0.009863288948805919,0.012660765592224277,0.015685620056775235,0.018354626286616195,0.0222403254018927,0.02613898993040799,0.030090380019388456
2170,0.007390057246758846,0.009818830051483608,0.012606342195181485,0.01562175599457421,0.01842360277657512,0.022303550298211617,0.026197278661099426,0.03014439183530067
2171,0.00736189505914619,0.00978743253894457,0.012571578198050227,0.015582987065214963,0.018473282861937602,0.022346923932962892,0.026236603070296193,0.030181102791131537
2172,0.007339467322782466,0.009762145469466566,0.012542972844273161,0.015550264642168913,0.018521072059319837,0.02238854165333229,0.026274261343108066,0.030216159536929396
2173,0.007321461959714378,0.009741391530962654,0.012518755366748582,0.015521667988061672,0.018581213087573614,0.022444261406386525,0.026327155001177712,0.030267249619828795
2174,0.007307835833486907,0.009725123261581316,0.012498871845771167,0.015497135833916247,0.01864603976030008,0.02250509899405955,0.02638542128619561,0.030323879136247036
2175,0.007298679985141543,0.009713463081895,0.012483467593345229,0.015476831711363994,0.018726110205363893,0.022583551178185043,0.026463072958857366,0.0304013996656596
2176,0.007267946463090486,0.009677225598374905,0.012441500662103299,0.01542863399499581,0.01876969472708991,0.022619588835111986,0.026494223217249875,0.030429149509609774
2177,0.007242450565263555,0.00964648735652972,0.012405009856507911,0.015385765251329883,0.018819795964764744,0.022662575930144622,0.026532517753033526,0.030464060315531494
2178,0.007221244080834803,0.009620119018236128,0.012372743412690582,0.015346888388880958,0.018885248262338304,0.022722774098979263,0.02658903084046195,0.03051775272139567
2179,0.007204164303273481,0.00959793568870304,0.012344504774420355,0.01531180286838704,0.018962016912871447,0.022794644457284467,0.026657220989822043,0.03058300413250027
2180,0.0071910531232959735,0.009579755384179005,0.012320098400218717,0.015280307226057024,0.0190506320720164,0.022880392550718463,0.026740703428065855,0.030664610420809278
2181,0.007141223508831679,0.009523538639078651,0.012259376055070515,0.015215805032361612,0.019087075110839874,0.022904631911261773,0.026756838215974417,0.030675287428503308
2182,0.007097168691197466,0.009473425876159243,0.012204743087825156,0.015157212756862146,0.01913122922168114,0.02293733298767567,0.02678143022691018,0.030693902935771938
2183,0.007057918886519038,0.009428296343040465,0.012154995689699364,0.01510328570388595,0.019187436917582353,0.022983414408946457,0.026820143765527753,0.03072707966017007
2184,0.007023338372356415,0.009387995394912719,0.012109967500898405,0.015053849980890658,0.01925230671692843,0.023039411507068595,0.026869554831966583,0.030771478786852772
2185,0.006993275987458111,0.009352343926049495,0.012069459318374828,0.015008691353455386,0.019324473089756877,0.023103370043277567,0.026927260274774035,0.03082434078389299
2186,0.006963324979389862,0.009316494020003405,0.012027674349234373,0.014960695880791634,0.019383883552440702,0.023156191401373625,0.02697574073023071,0.03086971130486782
2187,0.006938125322015936,0.009285405345478363,0.011990346870432371,0.014916717233447865,0.019450305777506043,0.023217100535878568,0.02703297101868275,0.030924228459107892
2188,0.0069170080628489635,0.00925829395197699,0.01195662633141529,0.014875871028170184,0.019527027996947582,0.023289005854759542,0.02710147080420964,0.030990083838521806
2189,0.006899887229576306,0.009235058620820217,0.0119264024861096,0.014838045149151224,0.019610574385796577,0.02336882753107242,0.027178416051527935,0.031064553101687285
2190,0.006886896702373465,0.00921588135672717,0.011899902317837673,0.014803512807718818,0.019709753222211045,0.023465860547764627,0.027273486974158816,0.031157762096691834
2191,0.006853249908881328,0.009174368851696344,0.011850928171407833,0.014747316699119389,0.019778413704335616,0.023528083716825177,0.027331296153008194,0.03121219548963805
2192,0.006824719595709017,0.00913817726404234,0.011807198828706426,0.014696182473027002,0.0198497441397708,0.02359287266773871,0.027391499879239264,0.031268771238324375
2193,0.006800374373213479,0.009106247871417027,0.0117676060227096,0.014648999130194743,0.01993072623900571,0.02366857473128245,0.02746337061535725,0.03133748684695904
2194,0.006780042198282021,0.009078359110469843,0.011731888468396458,0.014605473933332795,0.020020186758301955,0.023754618796722086,0.0275468090874099,0.03141863813501431
2195,0.0067635572584546005,0.009054295267520909,0.01169979073523205,0.014565320477856478,0.020122848998266243,0.02385469145377691,0.027644730293800705,0.0315145601868336
